id,title,url
370,Graphics,https://angel.co/graphics
371,Chemicals,https://angel.co/chemicals
372,Mining Technologies,https://angel.co/mining-technologies
373,Online Scheduling,https://angel.co/online-scheduling
374,B2B Express Delivery,https://angel.co/b2b-express-delivery
375,Nanotechnology,https://angel.co/nanotechnology
376,Quantified Self,https://angel.co/quantified-self
377,Delhi,https://angel.co/delhi
378,Fitness Gamification,https://angel.co/fitness-gamification
379,File Sharing,https://angel.co/file-sharing
380,Geospatial,https://angel.co/geospatial
381,Technical Continuing Education,https://angel.co/technical-continuing-education
382,Procurement,https://angel.co/procurement-1
383,Mexico,https://angel.co/mexico-1
384,Match-Making,https://angel.co/match-making
385,Trade Platform,https://angel.co/trade-platform
386,China Internet,https://angel.co/china-internet
387,Blog,https://angel.co/blog-3
388,Fashion Communities,https://angel.co/fashion-communities
389,DIY,https://angel.co/diy
390,Entertainment And Luxury Travel,https://angel.co/entertainment-and-luxury-travel
391,Veterinary,https://angel.co/veterinary
392,Rehabilitation,https://angel.co/rehabilitation
393,Analytics / Data,https://angel.co/analytics-data
394,Credit Cards,https://angel.co/credit-cards
395,Postal and Courier Services,https://angel.co/postal-and-courier-services
396,P2P Money Transfer,https://angel.co/p2p-money-transfer
397,Building Products,https://angel.co/building-products
398,Talent Analytics,https://angel.co/talent-analytics
399,Handmade,https://angel.co/handmade
400,Digital Storytelling,https://angel.co/digital-storytelling-1
401,Athletes,https://angel.co/athletes
402,mHealth,https://angel.co/mhealth
403,Mumbai,https://angel.co/mumbai-1
404,Collaboration Software,https://angel.co/collaboration-software-1
405,Water Purification,https://angel.co/water-purification
406,Organic,https://angel.co/organic-1
407,"Behavioral Therapy, Aba Therapy, Autism, Psychology",https://angel.co/behavioral-therapy-aba-therapy-autism-psychology
408,Intellectual Property,https://angel.co/intellectual-property
409,Marijuana Edibles,https://angel.co/marijuana-edibles
410,Foodtech,https://angel.co/foodtech-1
411,Computer Science,https://angel.co/computer-science-1
412,Full Stack Startup,https://angel.co/full-stack-startup
413,User Experience Research,https://angel.co/user-experience-research-1
414,Russian,https://angel.co/russian-1
415,Online Auctions,https://angel.co/online-auctions
416,Independent Music Labels,https://angel.co/independent-music-labels
417,Gift Card,https://angel.co/gift-card
418,Bloggers,https://angel.co/bloggers
419,Young Entrepreneurs,https://angel.co/young-entrepreneurs
420,Nightclubs,https://angel.co/nightclubs
421,Virtual Workforces,https://angel.co/virtual-workforces
422,Corporate Social Responsibility Management,https://angel.co/corporate-social-responsibility-management
423,Men,https://angel.co/men-1
424,Communications Infrastructure,https://angel.co/communications-infrastructure
425,Network Security,https://angel.co/network-security
426,ICT,https://angel.co/ict
427,Stocks,https://angel.co/stocks-1
428,Festivals,https://angel.co/festivals-1
429,Boating Industry,https://angel.co/boating-industry
430,Bio-Pharm,https://angel.co/bio-pharm
431,Rapid Prototyping,https://angel.co/rapid-prototyping-3
432,Brazil,https://angel.co/brazil-2
433,Vietnam,https://angel.co/vietnam-1
434,Senior Health,https://angel.co/senior-health
435,Religion,https://angel.co/religion
436,Space Travel,https://angel.co/space-travel
437,Small Companies,https://angel.co/small-companies
438,Artist Management,https://angel.co/artist-management-1
439,Sports Stadiums,https://angel.co/sports-stadiums
440,Business Travelers,https://angel.co/business-travelers
441,Military Veterans,https://angel.co/military-veterans
442,Electrical Distribution,https://angel.co/electrical-distribution
443,Licensing,https://angel.co/licensing
444,Business Process Management,https://angel.co/business-process-management-3
445,Virtualization,https://angel.co/virtualization
446,Malaysia,https://angel.co/malaysia-2
447,South America,https://angel.co/south-america-2
448,Exercise,https://angel.co/exercise
449,Civil Engineers,https://angel.co/civil-engineers
450,Visualization,https://angel.co/visualization
451,Logistics Company,https://angel.co/logistics-company
452,Theatre,https://angel.co/theatre
453,Connected Cars,https://angel.co/connected-cars
454,Unmanned Air Systems,https://angel.co/unmanned-air-systems
455,People,https://angel.co/people-4
456,Commodities,https://angel.co/commodities
457,Celebrity,https://angel.co/celebrity
458,Car,https://angel.co/car-1
459,Humanitarian,https://angel.co/humanitarian
460,Merchandising,https://angel.co/merchandising-2
461,Cloud Security,https://angel.co/cloud-security
462,Industrial Design,https://angel.co/industrial-design-3
463,Google Apps,https://angel.co/google-apps
464,Environmental Science,https://angel.co/environmental-science-2
465,Renewable Tech,https://angel.co/renewable-tech
466,Foreign Investments,https://angel.co/foreign-investments
467,Boston,https://angel.co/boston-2
468,Adult,https://angel.co/adult
469,Ngo's,https://angel.co/ngo-s
470,Public Sector,https://angel.co/public-sector-1
471,Disruptive Models,https://angel.co/disruptive-models
472,Biometrics,https://angel.co/biometrics
473,"Washington, Dc",https://angel.co/washington-dc-1
474,Content Management,https://angel.co/content-management-3
475,Genetic Testing,https://angel.co/genetic-testing
476,Social Search,https://angel.co/social-search
477,Early Stage IT,https://angel.co/early-stage-it
478,Federal Government,https://angel.co/federal-government-2
479,Artificial Neural Networks,https://angel.co/artificial-neural-networks-1
480,Mechanical Solutions,https://angel.co/mechanical-solutions
481,Ux Designer,https://angel.co/ux-designer-2
482,Distributed Systems,https://angel.co/distributed-systems-2
483,IaaS,https://angel.co/iaas
484,Mobile Analytics,https://angel.co/mobile-analytics
485,International Operating Companies,https://angel.co/international-operating-companies
486,Python,https://angel.co/python-2
487,Early-Stage Technology,https://angel.co/early-stage-technology
488,Aerial Robotics,https://angel.co/aerial-robotics-2
489,Urban Development,https://angel.co/urban-development-1
490,Oil & Gas,https://angel.co/oil-gas-2
491,Account Management,https://angel.co/account-management-2
492,Pre Seed,https://angel.co/pre-seed
493,Economics,https://angel.co/economics-1
494,"Bay Area, Ca",https://angel.co/bay-area-ca
495,Copywriting,https://angel.co/copywriting-2
496,Partnerships,https://angel.co/partnerships-2
497,Students,https://angel.co/students-4
498,Illustrations,https://angel.co/illustrations
499,Statistic Analysis,https://angel.co/statistic-analysis
500,Market,https://angel.co/market-4
